file,doc,rpm,Fx_mean,Fx_std,Fx_min,Fx_max,Fx_range,Fx_rms,Fx_skew,Fx_kurtosis,Fx_slope,Fx_energy,Fx_crest,Fx_impulse,Fx_shape,Fx_clearance,Fy_mean,Fy_std,Fy_min,Fy_max,Fy_range,Fy_rms,Fy_skew,Fy_kurtosis,Fy_slope,Fy_energy,Fy_crest,Fy_impulse,Fy_shape,Fy_clearance,Fz_mean,Fz_std,Fz_min,Fz_max,Fz_range,Fz_rms,Fz_skew,Fz_kurtosis,Fz_slope,Fz_energy,Fz_crest,Fz_impulse,Fz_shape,Fz_clearance,force_magnitude_mean,force_magnitude_std,Fx_dom_freq,Fy_dom_freq,Fz_dom_freq,Fx_fft_peak,Fy_fft_peak,Fz_fft_peak,harmonic_amplitude_ratio,near_harmonic,label_naive,label_physics,label
T1_1000doc_250RPM_02-02-2024.csv,1000.0,250,44.60279855896805,4.265790079903249,23.26380792282522,52.5487923297286,29.28498440690338,44.80632326243342,-1.8999876785411027,5.42287001872246,0.0003457436970629558,20076066.042976826,1.1727985807259178,1.178150116752324,1.0045630478364782,1.1811831493408893,19.34946769698405,2.1921994692548203,11.597434924840927,29.193918883800503,17.596483958959574,19.473254444741137,0.024403502764673225,0.08989166111356273,-0.0002735514646388625,3792076.3866963037,1.4991802714150066,1.5087711631649114,1.0063974239341158,1.5136787347843519,78.01010650438278,8.941352132952597,43.01106109842658,94.6132587954402,51.60219769701362,78.52085388475219,-1.3457856056107624,1.9293983256863072,0.0010999539154013082,61655244.94790601,1.2049443442669052,1.2128333498701815,1.006547195014286,1.2172410466627914,92.00854639309503,9.314833782070039,1.0,1.0,1.0,15389.021884205387,6115.700843903331,34392.24623351117,2.3486072261843867,False,0,0,0
T1_1000doc_250RPM_02-02-2024.csv,1000.0,250,45.201871624930625,2.7774474411164567,35.953967385739084,56.4534563216567,20.49948893591762,45.28712192980331,0.31094676348956984,0.14159480926196544,0.00014510074221634291,20509234.12684872,1.2465675431784253,1.2489185578439717,1.0018859905974704,1.250091194887771,18.730169183327554,2.0291150938141986,11.597434924840927,26.26117180585861,14.663736881017682,18.839759703882045,0.05573786843825476,-0.06240350283047036,4.172475331004807e-05,3549365.4570001774,1.393922864124819,1.402078729178522,1.0058510160523293,1.4062342347859178,79.34115118717595,8.257974529219492,53.72095354050398,106.2967805236578,52.575826983153824,79.7697462389818,-0.048699905681244916,0.14592898522463837,-0.00012975108106915418,63632124.1503155,1.3325450504155272,1.3397433605782965,1.0054019263067502,1.3434283268817084,93.33319390324817,7.614938557540571,95.0,4.0,95.0,10591.777373416593,3597.8573205294592,38440.39322908435,0.9999999997220568,True,0,0,0
T1_1000doc_250RPM_02-02-2024.csv,1000.0,250,46.77408521267903,4.995071613615409,34.97780138775706,64.26278430551291,29.284982917755848,47.040044514308285,0.5663095279043526,0.04365914736460397,0.0004155131916359396,22127657.87908105,1.366129325961117,1.3738971914322595,1.0056860396183047,1.3777430538974906,19.091385962178226,2.4883478934354124,10.619852565526962,29.193918883800503,18.57406631827354,19.252867142210803,-0.04919417462171738,0.3218392681195379,4.514500727899792e-05,3706728.9319562037,1.5163413671408201,1.5291670778452813,1.0084583267214065,1.5358258487854854,79.48184059733822,16.873967860943285,34.248424258083105,131.6110647290945,97.36264047101139,81.25326932568824,0.13923299265597489,-0.03483761281571773,9.27574688947254e-05,66020937.7611283,1.6197633131727491,1.6558633234960847,1.0222872132179754,1.6752289908364448,94.65621187263818,15.024447115910313,95.0,95.0,95.0,22340.95882176865,6563.3371685615875,76462.02033729147,1.93304879659242,False,0,0,0
T1_1000doc_250RPM_02-02-2024.csv,1000.0,250,48.49301626058277,8.414282429912264,21.311475926861167,73.04827828735112,51.73680236048996,49.21760635036485,0.19696113225368223,-0.2611181169751333,0.00030476874646258615,24223727.748594746,1.4841899820837103,1.5063669765315864,1.0149421534409906,1.5178836302415457,19.806878760215813,4.2292770282908965,6.709522382616997,39.94732483625412,33.23780245363712,20.253375777976313,-0.11464476441485086,0.09210984084474472,0.00021878111903484847,4101992.3040391756,1.9723785937795697,2.0168409833705097,1.0225425228864093,2.0415134722306854,80.34982890974221,30.870378217590744,7.9605108593357725,168.60886472165583,160.64835386232005,86.07598536828927,0.1949067477131993,-0.7452649226750503,0.0002493064909430533,74090752.57121947,1.9588374620428337,2.098434645219418,1.0712653223565578,2.184612452273366,97.7389539385424,26.243935402009154,94.0,94.0,94.0,34971.104825078815,14698.11018024108,156069.71406043938,3.4552836964082725,False,0,0,0
T1_1000doc_250RPM_02-02-2024.csv,1000.0,250,50.585818584738284,18.1595329229643,-18.71133296869695,108.1902601712942,126.90159313999115,53.74656898694351,-0.13858236621597206,0.3652011012298262,0.0006762450508117337,28886936.778682776,2.0129705432467055,2.1357428027547156,1.060990589216468,2.2230087640094083,22.299225299058016,10.011199077827685,-5.021467047631741,64.38688680171967,69.40835384935141,24.443394934297633,0.7898452382349932,1.2071433441139172,0.0008396354189962245,5974795.559140472,2.6341221002560293,2.8869374072389453,1.0959770646008942,3.0475220925624673,83.63260505156597,59.93014475418636,-51.43070042580366,259.15612395405765,310.5868243798613,102.8884584293542,0.35376297805971146,-0.37441778076653875,0.0011659069253637335,105860348.77968949,2.5188065591632975,3.0141229499521525,1.1966472530361323,3.4333138783878994,108.56836722876179,47.80290523631378,94.0,189.0,95.0,57377.680251083046,46333.956615373296,256900.19634018384,6.837309374389388,False,0,0,0
T1_1000doc_250RPM_02-02-2024.csv,1000.0,250,58.619372670007216,47.39582534615372,-62.63880734533072,197.02137790083887,259.6601852461696,75.38298954318738,-0.003270815635833841,0.07299040512322597,0.0024560803302956465,56825951.12468297,2.613605258888865,3.0606130129008333,1.1710310891408315,3.4253183478803644,25.834554386718466,20.386463061156878,-35.32652279615402,102.51260478019717,137.8391275763512,32.909452692261965,0.40017551340064117,0.5509661315811383,0.0006575523284310169,10830320.765042283,3.114989657798261,3.7342882665434214,1.198812412489001,4.228410596056021,90.2647532043751,110.39066359744749,-120.55817477405073,338.019855517149,458.5780302911997,142.5967190384532,0.2431394606337642,-0.8919639145203901,0.0014858906686069223,203338242.8053156,2.3704602588086003,3.009435722171864,1.2695575515298512,3.6374383249061566,144.96583571062808,78.00229449332414,95.0,190.0,95.0,142953.87741948184,73982.25051882109,682028.1425247875,12.444211318973725,False,0,1,1
T1_1000doc_250RPM_02-02-2024.csv,1000.0,250,67.50658419010298,64.74321827869967,-69.47196933120489,216.54469786047937,286.0166671916843,93.5351443153792,-0.19159815617769027,-0.9293834518961823,0.0010818316778644184,87488232.22098814,2.3151158791217554,2.7397856541669254,1.183433485500635,3.141248809530011,26.180227528582588,24.94471567271964,-35.32652279615402,102.51260478019717,137.8391275763512,36.16134888857408,0.20222527280863795,-0.4211844011011725,-0.0004273523750490034,13076431.534411782,2.834866727346781,3.4837844917981964,1.2289059158201603,4.0648544455288125,93.3742234971565,141.50930604006936,-127.37355898320676,351.65062393546106,479.0241829186678,169.53946239633692,0.15552445090047762,-1.3995907102995342,-8.928448210810755e-05,287436293.0963894,2.0741520526554345,2.5682767613215667,1.2382297421413866,3.037836406470452,176.44810721394856,87.55661680189483,284.0,189.0,95.0,269461.9903249093,88279.915295789,840982.7097663933,44.59681695488201,False,1,1,1
T1_1000doc_250RPM_02-02-2024.csv,1000.0,250,70.5049759605026,65.44185626176912,-69.47196933120489,216.54469786047937,286.0166671916843,96.19557259134696,-0.14466192399099906,-0.9493683419570327,0.00032513339372079345,92535881.86177102,2.2510879869741336,2.6846740731156347,1.1926117897880653,3.1047428211919526,25.568749754051627,21.9024901610401,-34.34894043684006,102.51260478019717,136.86154521703722,33.6671952980906,0.17085992105169961,-0.3256272001898064,0.00022066869178098943,11334800.392397735,3.044881044368168,3.690601298639448,1.2120674814096954,4.256720343484679,92.01387254618058,143.91459268683715,-127.37355898320676,351.65062393546106,479.0241829186678,170.8155810491625,0.16597267694659132,-1.4185544959749081,8.327960942960209e-05,291779627.29163,2.0586566036634117,2.5507306598347963,1.2390267785777052,3.024876828025579,177.80879822698492,89.15751357936833,284.0,189.0,95.0,247901.41357581803,93794.7118901528,737278.6439680926,27.10216286420097,False,1,1,1
T1_1000doc_250RPM_02-02-2024.csv,1000.0,250,70.27450300994306,61.25579910894973,-57.75797735542059,198.9737098968029,256.7316872522235,93.22434605708159,-0.15525742855514224,-0.930658703530499,-0.000462450778363297,86907786.97770503,2.1343535064860695,2.5471669094857385,1.1934137909887812,2.965244984793652,25.738751354773708,18.22631152431849,-27.505863921642305,94.69194590568544,122.19780982732775,31.53857563499611,0.3290174007195675,-0.18610114857244975,-0.00018227528427390495,9946817.530843703,3.0024166912792514,3.567477986378234,1.1882021561964553,4.049778075892544,91.90891589164028,137.56293599949706,-116.66366951167583,342.8879870951176,459.5516566067934,165.44125900505693,0.1699996141652328,-1.42133780897477,1.2195683488647023e-05,273708101.8117833,2.0725663547122593,2.582242360097573,1.2459154102480225,3.0757530811023464,171.74899952693568,86.93993209986914,189.0,189.0,95.0,199367.55972361506,69739.4215720618,616397.6332533004,14.064901965063745,False,0,1,1
T1_1000doc_250RPM_02-02-2024.csv,1000.0,250,68.52452997769683,57.36030642868028,-49.94864937156439,189.21204991698264,239.16069928854702,89.36339274141494,-0.1960072891491719,-0.9424082268360463,-0.0004692551926508198,79858159.62256372,2.117332882207072,2.519246250055969,1.1898205857125073,2.937904442753017,25.644121369622788,16.394071903380972,-20.66278591513634,93.71436354637146,114.3771494615078,30.43659892946598,0.459417839236034,0.03407530414537918,5.494597387408323e-05,9263865.543931697,3.0790024786785763,3.607635345912613,1.1716896530271426,4.0488698511799175,92.25202211254924,131.48426667234463,-114.7164168804884,325.36271341443063,440.079130294919,160.61926399476033,0.16039290454532637,-1.4322571397702053,-0.00024928040186381176,257985479.66218513,2.025676779499155,2.529691663786844,1.2488130828119113,3.016533410701223,166.16217934788767,84.2667231902871,189.0,189.0,94.0,190270.83538754313,56604.42802694212,611999.3062419441,11.39382321692261,False,0,1,1
